Howtext,이름,Function,Company,Shape,Howword,Except,Companyinfo
"1일 1회, 1회 1정(2200mg)을 씹어서 섭취하십시오.",가이아 멀티비타민앤미네랄포맨,"[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요
[비타민B1] 1. 탄수화물과 에너지 대사에 필요
[비타민B2] 1. 체내 에너지 생성에 필요
[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요
[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요
[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요
[망간] 1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요",(주)비오팜,알약,," 1.  섭취량 및 섭취방법을 준수하십시오.

 2.  어린 아이 섭취시 보호자의 지도아래 섭취시키십시오.

 3.  특정 원료에 알러지가 있거나 질병치료나 약물투여 중인 분들은 섭취 전 전문가와 상의하십시오.",
"1일 2회, 1회 1정씩(경질캡슐=450mg(오전), 정제=1100mg(오후))을 물과 함께 섭취하십시오.",리튠 맨 프로그램," 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌

 1. 에너지 이용에 필요 2. 신경과 근육 기능 유지에 필요

 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 체내 에너지 생성에 필요

 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

 1. 탄수화물과 에너지 대사에 필요

 1. 체내 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 정상적인 엽산 대사에 필요

 1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요

 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

 1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요

 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 갑상선 호르몬의 합성에 필요 2. 에너지 생성에 필요 3. 신경발달에 필요",주식회사 노바렉스,캡슐,,,
"성인 1일 3회,1회 1g(10환)을 온수 또는 냉수와 함께 섭취",홍삼농축액환파워, 1. 면역력증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판응집억제를통한혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,풍기특산물영농조합법인,알약,,"알레르기체질이신경우는성분을확인하고섭취
의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
씹어서 드시면 치아에 손상을 줄 수 있으니 주의하십시오.",
"1일 3회, 1회 1 g를 물에 타서 섭취, 기호에 따라 벌꿀, 감미료 등을 넣어서 섭취",일화홍삼농축액,"[홍삼(원료성)] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름에 도움 4. 기억력 개선 5. 항산화에 도움을 줄 수 있음

[홍삼제품] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름에 도움 4. 기억력 개선 5. 항산화에 도움을 줄 수 있음",(주)일화,액상,,"⑴ 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의하시기 바랍니다.

⑵ 알레르기 체질이신 분은 섭취 전에 원료명을 반드시 확인하시기 바랍니다.

⑶ 유통기한이 경과된 제품은 섭취하지 마십시오.

⑷ 제품 개봉 또는 섭취 시 포장재에 의한 상처 주의하시기 바랍니다.",
"1일 2회, 1회 1캡슐 씩 충분한 물과 함께 섭취한다.",프리미엄오메가3, 1.  혈중 중성지질 개선  2.  혈행개선,종근당건강(주),액상,,"1) 제품의 섭취시 섭취량 및 섭취방법을 확인하고 섭취하여 주십시오.

2) 유통기한이 경과된 제품은 섭취하지 않도록 주의바랍니다.

3) 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.

4) 알레르기 체질이신 분은 성분을 확인하고 섭취하시기 바랍니다.",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취.",헤모철플러스엽산,"[철] 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[구리] 1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",주식회사한미양행,캡슐,,"[철]특히 6세 이하는 과량섭취하지 않도록 주의

알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.",
"1일 1회, 1회 2캅셀을 충분한 물과 함께 섭취",루테인비타민A," 1. 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요",(주)알피바이오,캡슐,," 1. 임산부는 섭취 전 의사와 상담이 필요합니다. 2. 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.HDPE병 포장, PTP포장, PET포장",
"1일 1회, 1회 1정씩 물과 함께 섭취한다.",비타민C프리미엄골드,[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요,종근당건강(주),알약,,"1) 제품의 섭취시 섭취량 및 섭취방법을 확인하고 섭취하여 주십시오.

2) 유통기한이 경과된 제품은 섭취하지 않도록 주의바랍니다.

3) 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.

4) 알레르기 체질이신 분은 성분을 확인 후 섭취하여 주십시오.",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",파워업쏘팔메토골드,"[쏘팔메토열매추출물 제품]전립선 건강의 유지에 도움을 줄 수 있음.

[옥타코사놀함유유지 제품] 1. 지구력 증진

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",코스맥스바이오(주),캡슐,,"[쏘팔메토열매추출물 제품]메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음.

섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오. 

섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오. 

개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오. 

섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.

특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.",
1일1회 1회 5g을 그냥 드시거나 기호에 따라 냉수 또는 온수에 타서 드십시오,6년근홍삼정업," 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음
 6.  갱년기 여성의 건강에 도움을 줄 수 있음",종근당건강(주),액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",아이브라이트,"[루테인]루테인은 노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈 건강에 도움을 줍니다.(기타 I등급)

[헤마토코쿠스추출물]“눈의 피로도 개선에 도움을 줄 수 있음”(기타기능II)

[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",주식회사 노바렉스,캡슐,,"[루테인]과다 섭취시 일시적으로 피부가 황색으로 변할 수 있습니다. 임산부는 섭취전 의사와 상담이 필요합니다.

[헤마토코쿠스추출물] 1.  과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음  2.  β-카로틴의 흡수를 저해할 수 있음",
1일 5회 1회 1포(3g)을 냉.온수에 타서 기호에 따라 설탕이나 꿀을 첨가해서 섭취,고려인삼차파워,[인삼제품] 1. 면역력 증진에 도움을 줄 수 있음  2. 피로개선에 도움을 줄 수 있음,(주)케이지앤에프,분말,,"[인삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

 1.  개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단한다.

 2.  섭취 전 제품에 이상이 있는 경우 섭취를 금한다.",
"1일 1회, 1회 1캡슐씩 물과 함께 섭취",눈에 좋은 오메가루테인,"노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

1)혈중 중성지질 개선?혈행 개선에 도움을 줄 수 있음 
2)건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음",(주)네추럴에프앤피,캡슐,,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.,
"1일 1회, 1회 2정을 물과 함께 섭취하십시오.",가르시니아 빼레이,"[비타민B1]
 1. 탄수화물과 에너지 대사에 필요
[비타민B2]
 1. 체내 에너지 생성에 필요
[나이아신]
 1. 체내 에너지 생성에 필요
[판토텐산]
 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6]
 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[가르시니아캄보지아추출물]
 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌",(주)뉴트리바이오텍,알약,,"1. 임산부 , 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
2. 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
3. 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
4. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
5. 이상 증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 소비자상담실로 문의하시기 바랍니다.
6. 강력방습제인 실리카겔은 섭취하지 마십시오.",
"1일 1회, 1회 1정을 충분한 물과 함께 섭취하십시오.",엽산400," 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 정상적인 엽산 대사에 필요

 1. 체내 에너지 생성에 필요",(주)한국씨엔에스팜,알약,,#NAME?,
1일 1회 1회 2포(2.0g)을 직접 또는 물과 함께 섭취하십시오.,듀오락 에이티피(ATP),"유산균의 증식 및 유해균 억제, 배변활동 원활에 도움을 줄 수 있음.",(주)쎌바이오텍,분말,,"질병치료중이신 분, 알레르기, 특이체질이신 분은 의사, 약사 등 전문가와 상담 후 섭취하십시오.",
"1일 2회, 1회 2포를 물과 함께 섭취하십시오",누벨르 퓨리파잉다이어트 데이," 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

1. 항산화에 도움을 줄 수 있음 2.체지방 감소에 도움을 줄 수 있음3. 혈중 콜레스테롤 개손에 도움을 줄 수 있음

 1. 유해산소로부터 세포를 보호하는데 필요",주식회사 노바렉스,알약,,"카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음",
"1일 5회, 1회 1.6g(약8회분사)를 구강에 분무하여 섭취",유니크수용성프로폴리스스프레이, 1. 항산화에 도움을 줄 수 있음  2. 구강에서의 항균작용에 도움을 줄 수 있음,유니크바이오텍(주),액상,,프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,
"1일 2회, 1회 2캅셀을 물과 함께 섭취",브레인레시틴,"[홍삼제품] 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음

[레시틴 제품] 1. 혈중 콜레스테롤 개선에 도움을 줄 수 있음",(주)고센바이오텍,액상,,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

[레시틴 제품]대두나 난황에 알레르기를 나타내는 사람은 섭취에 주의

 1.  난황 알레르기를 나타내는 사람은 섭취에 주의.

 2.  제품 개봉 또는 섭취시 포장재에 의해 상처를 입힐 수 있으니 주의.

 3.  의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의.",
"1일 1회, 1회 2캡슐을 씹어서 섭취하십시오.  1일 2회, 1회 1캡슐을 씹어서 섭취하십시오.",츄어블프로폴리스, 1. 항산화에 도움을 줄 수 있음  2. 구강에서의 항균작용에 도움을 줄 수 있음,코스맥스바이오(주),캡슐,,프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,
